skip,sample_ID,material,amount_mg,d13C,C_amount_ug,d13C_Comment,d15N,N_amount_ug,d15N_Comment,Tray Name,Well Id,Analysis,Enriched?,Estimated Enrichment,OurLabID,Analysis Number,source_file
,C1,WOOD,1.72,-23.46,820.18,,-5.06,3.95,Too small,BBWM WOOD 1 Under 8mg,A1,"13C, 15N",NO,,416950,136228,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C2,WOOD,5.75,-25.4,2730.26,,-2.61,9.3,Too small,BBWM WOOD 1 Under 8mg,A2,"13C, 15N",NO,,416951,136229,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C5,WOOD,7.11,-24.77,3384.92,,-2.21,9.89,Too small,BBWM WOOD 1 Under 8mg,A3,"13C, 15N",NO,,416952,136230,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C7,WOOD,7.91,-25.54,3761.78,,-2.22,8.88,Too small,BBWM WOOD 1 Under 8mg,A4,"13C, 15N",NO,,416953,136231,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C8,WOOD,3.98,-26.45,1965.66,,-4.87,6.63,Too small,BBWM WOOD 1 Under 8mg,A5,"13C, 15N",NO,,416954,136232,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C9,WOOD,1.35,-25.41,633.09,,-6.87,2.57,Too small,BBWM WOOD 1 Under 8mg,A6,"13C, 15N",NO,,416955,136233,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C11,WOOD,4.81,-27.49,2257.53,,-3.14,5.22,Too small,BBWM WOOD 1 Under 8mg,A7,"13C, 15N",NO,,416956,136234,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C12,WOOD,0.73,-27.85,334.21,,-7.33,3.14,Too small,BBWM WOOD 1 Under 8mg,A8,"13C, 15N",NO,,416957,136235,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C13,WOOD,3.38,-27.36,1599.3,,-2.11,4.09,Too small,BBWM WOOD 1 Under 8mg,A9,"13C, 15N",NO,,416958,136236,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C14,WOOD,3.57,-26.95,1696.94,,-3.89,3.81,Too small,BBWM WOOD 1 Under 8mg,A10,"13C, 15N",NO,,416959,136237,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C15,WOOD,2.91,-27.18,1355.71,,-5.07,4.93,Too small,BBWM WOOD 1 Under 8mg,A11,"13C, 15N",NO,,416960,136238,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C16,WOOD,2.15,-27.48,1126.55,,-0.6,5.43,Too small,BBWM WOOD 1 Under 8mg,A12,"13C, 15N",NO,,416961,136239,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C17,WOOD,4.95,-26.91,2435.84,,0.8,8.05,Too small,BBWM WOOD 1 Under 8mg,B1,"13C, 15N",NO,,416962,136243,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C18,WOOD,3.9,-28.88,1858.9,,-0.07,6.75,Too small,BBWM WOOD 1 Under 8mg,B2,"13C, 15N",NO,,416963,136244,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C19,WOOD,0.91,-26.81,453.28,,-6.89,3.18,Too small,BBWM WOOD 1 Under 8mg,B3,"13C, 15N",NO,,416964,136245,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C20,WOOD,0.47,-27.31,259.55,,-5.81,2.57,Too small,BBWM WOOD 1 Under 8mg,B4,"13C, 15N",NO,,416965,136246,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C21,WOOD,4.78,-25.95,2317.1,,-2.23,5.42,Too small,BBWM WOOD 1 Under 8mg,B5,"13C, 15N",NO,,416966,136247,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C22,WOOD,1.59,-26.81,742.55,,-6.48,3.86,Too small,BBWM WOOD 1 Under 8mg,B6,"13C, 15N",NO,,416967,136248,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
