sample_ID,code,sample_number,watershed,forest,location,year,dominant_species_number,dominant_species_bag1,wt_bag_dry_g,wt_bag_g,wt_air_dry_g,perc_of_total_by_plot,area_m2,comment,sourcefile,flag
H9,HERB01,6001,EB,HW,EBHW_plot1_MR,2012,1,Salomon's seal,,,24.3,,25,,total weight2012,
H10,HERB01,6002,EB,HW,EBHW_plot1_MR,2012,2,Wild sarsaparilla,,,3.58,,25,,total weight2012,
H11,HERB01,6003,EB,HW,EBHW_plot1_MR,2012,3,Star flower,,,2.71,,25,,total weight2012,
H12,HERB01,6004,EB,HW,EBHW_plot1_MR,2012,4,Indian cucumber,,,0.24,,25,,total weight2012,
H13,HERB01,6005,EB,HW,EBHW_plot1_MR,2012,5,False L.O.F.,,,0.77,,25,,total weight2012,
H14,HERB01,6006,EB,HW,EBHW_plot1_MR,2012,others,"? maple, Am. beech, Yellow birch",,,159.85,,25,,total weight2012,
H15,HERB02,6007,EB,HW,EBHW_plot2_MR,2012,1,Salomon's seal,,,29.25,,25,,total weight2012,
H16,HERB02,6008,EB,HW,EBHW_plot2_MR,2012,2,Star flower,,,14.86,,25,,total weight2012,
H17,HERB02,6009,EB,HW,EBHW_plot2_MR,2012,3,Wild sarsaparilla,,,23.11,,25,,total weight2012,
H18,HERB02,6010,EB,HW,EBHW_plot2_MR,2012,4,Hobble bush,,,44.31,,25,,total weight2012,
H19,HERB02,6011,EB,HW,EBHW_plot2_MR,2012,5,Red Maple,,,16.52,,25,,total weight2012,
H20,HERB02,6012,EB,HW,EBHW_plot2_MR,2012,6,Moose Maple,,,36.17,,25,,total weight2012,
H21,HERB02,6013,EB,HW,EBHW_plot2_MR,2012,7,American Beech,,,51.57,,25,,total weight2012,
H22,HERB02,6014,EB,HW,EBHW_plot2_MR,2012,others,"Red spruce,Sugar Maple,y. birch, Canada Mayflower",,,130.87,,25,,total weight2012,
H23,HERB03,6015,EB,HW,EBHW_plot3_MR,2012,1,Indian cucumber,,,2.5,,25,,total weight2012,
H24,HERB03,6016,EB,HW,EBHW_plot3_MR,2012,2,Salomon's seal,,,6.73,,25,,total weight2012,
H25,HERB03,6017,EB,HW,EBHW_plot3_MR,2012,3,Wild sarsaparilla,,,12.48,,25,,total weight2012,
H26,HERB03,6018,EB,HW,EBHW_plot3_MR,2012,4,American beech,,,6.28,,25,,total weight2012,
H27,HERB03,6019,EB,HW,EBHW_plot3_MR,2012,5,Sugar Maple,,,5.86,,25,,total weight2012,
H28,HERB03,6020,EB,HW,EBHW_plot3_MR,2012,6,Striped Maple,,,13.46,,25,,total weight2012,
H29,HERB03,6021,EB,HW,EBHW_plot3_MR,2012,others,Red Spruce,,,1.14,,25,,total weight2012,
H30,HERB04,6022,EB,HW,EBHW_plot4_MR,2012,1,Lady slipper,,,1.83,,25,,total weight2012,
H31,HERB04,6023,EB,HW,EBHW_plot4_MR,2012,2,Hay scented fern,,,2.89,,25,,total weight2012,
H32,HERB04,6024,EB,HW,EBHW_plot4_MR,2012,3,Cornus racemosa,,,9.36,,25,,total weight2012,
H33,HERB04,6025,EB,HW,EBHW_plot4_MR,2012,4,Indian cucumber,,,1.22,,25,,total weight2012,
H34,HERB04,6026,EB,HW,EBHW_plot4_MR,2012,5,American beech,,,10.67,,25,,total weight2012,
H35,HERB04,6027,EB,HW,EBHW_plot4_MR,2012,6,mountain maple,,,9.86,,25,,total weight2012,
H36,HERB04,6028,EB,HW,EBHW_plot4_MR,2012,7,sugar maple,,,28.97,,25,,total weight2012,
H37,HERB04,6029,EB,HW,EBHW_plot4_MR,2012,8,red maple,,,6.19,,25,,total weight2012,
H38,HERB04,6030,EB,HW,EBHW_plot4_MR,2012,others,"Wild saraparilla,salomon's seal,red spruce",,,5.46,,25,,total weight2012,
H39,HERB05,6031,EB,HW,EBHW_plot5_MR,2012,1,(hay-scented?) fern,,,10.54,,25,,total weight2012,
H40,HERB05,6032,EB,HW,EBHW_plot5_MR,2012,2,Salomon's seal,,,6.4,,25,,total weight2012,
